typeWord,association
bioinspired,ich habe keine weitere assoziation
sustainable,ich habe keine weiteren assoziationen
sustainable,ich habe keine weiteren assoziationen
sustainable,ich habe keine weiteren assoziationen
sustainable,ich habe keine weiteren assoziationen
bioinspired,innovativ
bioinspired,insekten roboter
bioinspired,inspiriert von käfern
bioinspired,interessant
bioinspired,intuitiv
sustainable,isolierung
sustainable,junge entwicklerinnen
sustainable,kaffee machine
bioinspired,kamera
sustainable,kann recyclet werden
bioinspired,kein plastik
sustainable,kein schaden
bioinspired,keine ahnung leider
sustainable,keine ausbeutung bei produktionen
sustainable,keine gefährlichen/seltenen stoffe
sustainable,kleidung 2 hand
sustainable,kleidung aus recyceltem plastik
bioinspired,klettverschluss
bioinspired,klettverschluss
bioinspired,klettverschluss
bioinspired,klettverschluss
bioinspired,klettverschluss
sustainable,klima
sustainable,kompost
bioinspired,kompost
bioinspired,kraft
sustainable,kraftwerk
bioinspired,kunst
bioinspired,kunst
bioinspired,kühlschrank
bioinspired,künstliche herzklappen
bioinspired,künstliche intelligenz
sustainable,langfristig
sustainable,langlebig
sustainable,langlebig
sustainable,langlebigkeit
bioinspired,led
sustainable,led
bioinspired,leise rotoren
sustainable,lokale landwirtschaft
bioinspired,lotus effekt
bioinspired,lotus-effekt
bioinspired,lotus-effekt
bioinspired,lotuseffekt
bioinspired,lotuseffekt
bioinspired,lotuseffekt
bioinspired,luftfahrt
sustainable,luxus verzicht
bioinspired,marmelade
bioinspired,materialien
bioinspired,materiel wie holz
bioinspired,maus
bioinspired,medizinische nadel
bioinspired,medzin
bioinspired,meer
sustainable,mehr gehen statt fahren
sustainable,mehrmals nutzbare kaffeefilter
sustainable,mehrweg
sustainable,minimalistisch
sustainable,modern
bioinspired,modern
sustainable,modern
sustainable,modern
sustainable,moderner ansatz von segelschiffen
sustainable,modulare produkte
bioinspired,mucke
bioinspired,musikinstrumente
sustainable,müll reduktion
sustainable,nachhaltig
bioinspired,nachhaltig
bioinspired,nachhaltige technologien
bioinspired,nachhhaltig
bioinspired,nanotechnologie
bioinspired,nanotechnologie
bioinspired,natur
bioinspired,natur
bioinspired,naturwissenschaften
bioinspired,natürlich
bioinspired,natürlich
bioinspired,natürlich
bioinspired,natürliche prozesse
bioinspired,neoprenanzüge
bioinspired,neu
bioinspired,neu
sustainable,neu
sustainable,neu
bioinspired,nicht super innovativ
bioinspired,nutzung der sonne
bioinspired,nützlich
bioinspired,oberflaechen die sich selbstreinigen
bioinspired,offshore windpark
bioinspired,papierprodukte
sustainable,papierverpackungen
sustainable,passivhäuser
bioinspired,permakultur
bioinspired,pestizide
sustainable,pfandautomat
sustainable,pfandflaschen
sustainable,pfandsystem
bioinspired,pinzette
sustainable,plastikfrei
sustainable,politik
sustainable,positiv
bioinspired,praktisch
sustainable,premium
sustainable,produkte mit langem lebenszyklus
bioinspired,pullis
sustainable,pv anlage
sustainable,qualität
bioinspired,rasensprenkler
bioinspired,recyclebar
sustainable,recycling
sustainable,recycling
sustainable,recycling
sustainable,recycling
sustainable,recycling
sustainable,recycling
sustainable,recycling
sustainable,recycling
sustainable,recycling
sustainable,recycling
sustainable,recycling
bioinspired,recyclingtechnologien
sustainable,refurbish
bioinspired,regenschutz von windscheiben wie bei lotusblätter
bioinspired,reifen
sustainable,renewable energies.
sustainable,reparatur möglichkeiten
sustainable,reparierbar
sustainable,reparierbare produkte
bioinspired,roboter
bioinspired,roboter
bioinspired,runde formen
sustainable,samsung
sustainable,sauber
bioinspired,schere
bioinspired,schiff
bioinspired,schiffe
sustainable,schlau
bioinspired,schnell
bioinspired,schwimmflossen
bioinspired,schön
bioinspired,schönheit
sustainable,second hand shops
bioinspired,seide
bioinspired,selbstvervielfätigend
bioinspired,self-cleaning surfaces – based on lotus leaves
bioinspired,shampoos
bioinspired,sharkskin-inspired materials – used for antibacterial surfaces or swimsuits
bioinspired,smart
bioinspired,smart
sustainable,smart thermostats – improving energy efficiency in homes
sustainable,solar
bioinspired,solar
sustainable,solar
sustainable,solar
sustainable,solar
sustainable,solar
sustainable,solar
bioinspired,solar energie
sustainable,solar energie
sustainable,solar panels – harnessing renewable energy from the sun
sustainable,solaranlagen
bioinspired,solaranlagen
bioinspired,solaranlagen
bioinspired,solaranlagen
bioinspired,solaranlagen
bioinspired,solaranlagen
sustainable,solaranlagen
sustainable,solaranlagen
sustainable,solaranlagen
bioinspired,solaranlagen
sustainable,solaranlagen
sustainable,solarenergie
sustainable,solarenergie
sustainable,solarenergie
sustainable,solarenergie
sustainable,solarenergie
bioinspired,solarenergie-anlagen
sustainable,solarkraft
sustainable,solarpaneele
bioinspired,solarpanel
sustainable,solarpanel
sustainable,solarpanels
sustainable,solarpanels
sustainable,solarpänel
bioinspired,solartechnik
sustainable,solartechniken
bioinspired,solarüberdachte wiese
bioinspired,sonarortung
bioinspired,sonne
sustainable,sonnenenergie
sustainable,sonnige ebene
sustainable,sparen
bioinspired,spinnenseide
sustainable,startup
bioinspired,staudämme
bioinspired,staudämme
sustainable,strom aus wind/wasser
sustainable,stromsparend
bioinspired,strukturdesign
sustainable,subvention
bioinspired,t-shirts
bioinspired,tauchen
bioinspired,taucherflossen
bioinspired,taucherflossen
sustainable,technik
sustainable,technologie
bioinspired,telfefon
bioinspired,teuer
sustainable,teuer
bioinspired,teuer
sustainable,teuer
bioinspired,textilien
bioinspired,tiere
bioinspired,u-boot
bioinspired,u-boote
bioinspired,u-boote
sustainable,umwelt
sustainable,umwelt
sustainable,umwelt
sustainable,umweltfreundlich
sustainable,umweltfreundlich
sustainable,updatebare produkte
bioinspired,velcro material
bioinspired,velcro – inspired by burrs sticking to animal fur  bullet train design – modeled after a kingfisher’s beak  drone flight patterns – mimicking the flight of birds or insects  self-cleaning surfaces – based on lotus leaves  sharkskin-inspired materials – used for antibacterial surfaces or swimsuits
sustainable,verpflichten sich zum schutz der regenwälder
bioinspired,vertical farming
sustainable,vertikale landwirtschaft
bioinspired,video
bioinspired,vogel
bioinspired,vorbild
bioinspired,vögel
bioinspired,wabenbau
bioinspired,wabenformen
bioinspired,wabenstruktur
bioinspired,wabenstrukturen
bioinspired,wald
bioinspired,wandern
sustainable,wartbare produkte
bioinspired,wash machine
sustainable,wasser
bioinspired,wasser
bioinspired,wasserabweisende oberflächen
bioinspired,wasserabweisende stoffe
bioinspired,wassergewinnung aus nebel
bioinspired,wasserkraft
sustainable,wasserkraft
sustainable,wasserkraft
sustainable,wasserkraft
sustainable,wasserkraft
sustainable,wasserkraftwerk
sustainable,wasserkraftwerk
bioinspired,wasserkraftwerke
sustainable,wasserkraftwerke
bioinspired,wasserpumpe
sustainable,wasserstoff fahrzeuge
sustainable,wasserstoff-motor
sustainable,wasserstofftechnologie
bioinspired,wassertechnologien
bioinspired,wasserwerke
sustainable,wasserwerke
sustainable,waste to energy provcesses
sustainable,wenig batterien
sustainable,weniger fleisch konsumieren
sustainable,wenn man für flugmeilen geld an ein klimaprojekt spenden kann
bioinspired,wiederkehrende strukturen
bioinspired,wilde gärten
bioinspired,wildschweien
sustainable,wind
sustainable,wind energie
sustainable,wind turbines – using wind power for electricity generation
sustainable,windenergie
sustainable,windenergie
sustainable,windenergie
sustainable,windkraft
sustainable,windkraft
sustainable,windkraft
bioinspired,windkraft
sustainable,windkraft
sustainable,windkraftanlagen
sustainable,windkraftanlagen
bioinspired,windkraftanlagen
bioinspired,windkrafträder
sustainable,windkraftwerke
sustainable,windmühle
sustainable,windrad
sustainable,windrad
bioinspired,windrad  solarpanel
sustainable,windräder
sustainable,windräder
sustainable,windräder
sustainable,windräder
bioinspired,windräder
sustainable,windräder
sustainable,windräder (schwachsinn)
sustainable,windturbinen
bioinspired,windturbinen
sustainable,winra
sustainable,wärmepumpe
sustainable,wärmepumpe
sustainable,wärmepumpen
sustainable,wärmepumpen
bioinspired,zersetzbar
sustainable,zug
sustainable,zug
sustainable,zugfahrten
sustainable,zukunft
sustainable,zukunftshahig
sustainable,zukunftsorientiert
sustainable,züge
sustainable,züge
bioinspired,ästhetisch
sustainable,öffentliche mittel nutzen
sustainable,ökologie
sustainable,ökologisch
sustainable,ökonomie
sustainable,ökostrom
sustainable,öpnv
